Index,geohash,day,timestamp,demand,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather,lat,lon
0,qp02z1,48,0.0,0.048804295,Unknown,1,Not Allowed,No,31.1045646,Unknown,-5.48492431640625,90.6646728515625
1,qp02zt,48,0.0,0.118507292,Residential,3,Allowed,Yes,31.1045646,Sunny,-5.46295166015625,90.6866455078125
2,qp08bj,48,0.0,0.027131706,Residential,1,Not Allowed,No,25.91926732,Sunny,-5.46295166015625,90.7086181640625
3,qp08gt,48,0.0,0.003271527,Residential,1,Not Allowed,No,18.36146738,Rainy,-5.46295166015625,90.8624267578125
4,qp02zq,48,0.0,0.010819396,Residential,1,Not Allowed,No,10.80366744,Rainy,-5.45745849609375,90.6756591796875
5,qp02zw,48,0.0,0.016262279,Residential,2,Not Allowed,Yes,8.446025217,Rainy,-5.45745849609375,90.6866455078125
6,qp02zy,48,0.0,0.042247454,Residential,3,Allowed,Yes,15.77240822,Foggy,-5.45745849609375,90.6976318359375
7,qp08by,48,0.0,0.040135463,Residential,1,Not Allowed,No,2.705143266,Snowy,-5.45745849609375,90.7415771484375
8,qp08gq,48,0.0,0.001002035,Residential,1,Not Allowed,No,18.13689866,Foggy,-5.45745849609375,90.8514404296875
9,qp08gy,48,0.0,0.003948438,Residential,3,Allowed,Yes,12.73820895,Rainy,-5.45745849609375,90.8734130859375
10,qp02zp,48,0.0,0.01778024,Residential,1,Not Allowed,No,8.240079709,Rainy,-5.45196533203125,90.6646728515625
11,qp02zr,48,0.0,0.089060128,Residential,2,Not Allowed,Yes,19.24538095,Sunny,-5.45196533203125,90.6756591796875
12,qp02zx,48,0.0,0.050095608,Residential,3,Allowed,Yes,8.160115459,Rainy,-5.45196533203125,90.6866455078125
13,qp02zz,48,0.0,0.152597712,Residential,1,Not Allowed,No,11.50970487,Rainy,-5.45196533203125,90.6976318359375
14,qp08br,48,0.0,0.011870253,Residential,1,Not Allowed,No,16.33667107,Foggy,-5.45196533203125,90.7196044921875
15,qp08bx,48,0.0,0.00509075,Residential,1,Not Allowed,No,4.696763714,Snowy,-5.45196533203125,90.7305908203125
16,qp08bz,48,0.0,0.001492062,Residential,1,Not Allowed,No,19.26671714,Sunny,-5.45196533203125,90.7415771484375
17,qp08cp,48,0.0,0.003283769,Residential,3,Allowed,Yes,24.31853431,Sunny,-5.45196533203125,90.7525634765625
18,qp08fz,48,0.0,0.001297415,Residential,2,Not Allowed,Yes,-0.248459129,Snowy,-5.45196533203125,90.8294677734375
19,qp08gp,48,0.0,0.003275537,Residential,2,Not Allowed,Yes,7.382247826,Rainy,-5.45196533203125,90.8404541015625
20,qp08gr,48,0.0,0.043972885,Residential,2,Not Allowed,Yes,16.50089756,Foggy,-5.45196533203125,90.8514404296875
21,qp08gz,48,0.0,0.032973477,Residential,3,Allowed,Yes,17.74503656,Foggy,-5.45196533203125,90.8734130859375
22,qp03p0,48,0.0,0.009480528,Residential,1,Not Allowed,No,5.375956134,Snowy,-5.44647216796875,90.6646728515625
23,qp03p2,48,0.0,0.04904351,Residential,2,Not Allowed,Yes,26.03760125,Sunny,-5.44647216796875,90.6756591796875
24,qp0900,48,0.0,0.005745944,Residential,3,Allowed,Yes,12.13038258,Rainy,-5.44647216796875,90.7086181640625
25,qp090b,48,0.0,0.108100935,Residential,1,Not Allowed,No,29.27851235,Sunny,-5.44647216796875,90.7415771484375
26,qp094b,48,0.0,0.012876258,Residential,3,Allowed,Yes,13.91940612,Rainy,-5.44647216796875,90.8294677734375
27,qp0950,48,0.0,0.046679397,Residential,2,Not Allowed,Yes,13.87855299,Rainy,-5.44647216796875,90.8404541015625
28,qp0952,48,0.0,0.005114253,Residential,1,Not Allowed,No,23.84502471,Sunny,-5.44647216796875,90.8514404296875
29,qp0958,48,0.0,0.018134506,Residential,1,Not Allowed,No,19.78228985,Sunny,-5.44647216796875,90.8624267578125
30,qp095b,48,0.0,0.015565637,Residential,2,Not Allowed,Yes,11.52495694,Rainy,-5.44647216796875,90.8734130859375
31,qp090c,48,0.0,0.103803766,Residential,1,Not Allowed,No,15.96610128,Sunny,-5.44097900390625,90.7415771484375
32,qp0949,48,0.0,0.00527843,Residential,2,Not Allowed,Yes,20.40724562,Sunny,-5.44097900390625,90.8184814453125
33,qp094c,48,0.0,0.007951696,Residential,2,Not Allowed,Yes,14.38895925,Foggy,-5.44097900390625,90.8294677734375
